World War I African American Soldiers: North Carolina: 317 Units						#5	#6																																																																															
FILE	#1	#1	#2	#3	#4	OVERSEAS SERVICE DATES		#7																																																																														
Number	Last	First	City	Date	LAST UNIT	From 	To	Discharge Date																																																																														
WW-I-Card_World-War-I-Service-Card-e_06266.txt	Blue	John	Aberdeen	12/12/1917	323 Labor Co QMC			1/27/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-3-i_11813.txt	Love	Louis	Aberdeen	7/25/1914	Co D 305 Serv Bn	5/22/1918	7/5/1919	7/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-b_01760.txt	Holloway	Jack	Acton	1/28/1918	Co B 308 Serv Bn	3/29/1918	7/18/1919	7/24/1919																																																																														
WW-I-Card_World-War-I-Service-Card-d_04293.txt	Bazeman	Sam	Ahoskie	6/21/1918	Co A 801 Pion Inf	9/8/1918	6/5/1919	6/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-a_00010.txt	Darden	Davis	Ahoskie	4/2/1918	161 Dep Brig			7/8/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_07493.txt	Keene 	Robert	Ahoskie	4/27/1918	Sup Co 366 Inf	6/15/1918	3/31/1919	4/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_04640.txt	Melton	Wilkie	Ahoskie	7/19/1918	32 Cons Co Langley Field VA		Death	10/24/1918																																																																														
WW-I-Card_World-War-I-Service-Card-4-e_06377.txt	Moore	Hobart	Ahoskie	7/19/1918	Co G 808 Pion Inf	8/31/1918	6/22/1919	7/7/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-e_06693.txt	Moore	Yancey	Ahoskie	7/19/1918	Co G 808 Pion Inf	8/31/1918	6/22/1919	7/7/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-f_07278.txt	Morton	Herman	Ahoskie	6/19/1918	Co A 520 Engrs Serv Bn	8/31/1918	6/20/1919	7/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-h_10341.txt	Parker	John	Ahoskie	7/18/1918	Co H 808 Pion Inf	8/28/1918	1/24/1919	2/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-n_18627.txt	Satterwhite	Alexander	Ahoskie	7/16/1918	Co K 370 Inf	8/22/1918	2/9/1919	3/6/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-n_18978.txt	Scott	Benjamin	Ahoskie	7/19/1918	Co I 808 Pion Inf	8/31/1918	6/22/1919	7/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-c_03822.txt	Taylor	Luther	Ahoskie	7/18/1918	Co D 808 Pion Inf	8/31/1918	6/22/1919	7/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-e_06626.txt	Vaughan	Eddie	Ahoskie	8/5/1918	Co A 347 Labor Bn (Co A 347 Serv Bn)	10/22/1918	4/25/1919	5/2/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-e_06673.txt	Vaughn	Paul	Ahoskie	6/21/1918	Co B 532 Engrs Serv Bn	8/22/1918	6/30/1919	7/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-e_06675.txt	Vaughn	Quilla	Ahoskie	4/2/1918	Sup Co 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-g_08589.txt	Weaver	Charlie	Ahoskie	4/2/1918	Hq Co 365 Inf			2/8/1919																																																																														
WW-I-Card_World-War-I-Service-Card-d_04284.txt	Baynes	James	Alamance	8/14/1918	Btry E 19 FA Repl Draft Camp Jackson SC			12/30/1918																																																																														
WW-I-Card_World-War-I-Service-Card-g_08908.txt	Brown	Joe	Albemarle	8/24/1918	Co D 347 Serv Bn	10/21/1918	6/29/1919	7/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-h_10129.txt	Lee	Signey	Albemarle	8/27/1917	365 F Hosp Co 317 Sn Tn MD	6/19/1918	2/24/1919	3/27/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-i_10822.txt	Lilly	James	Albemarle	3/10/1918	Co A 310 Labor Bn	4/24/1918	9/29/1919	10/7/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-k_14453.txt	Radley	Simon	Albemarle	4/30/1918	156 Dep Brig			11/3/1919 GCMO																																																																														
WW-I-Card_World-War-I-Service-Card-4-m_16918.txt	Robins	Augustus	Albemarle	3/30/1918	Co L 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-a_00684.txt	Spellar	James	Albemarle	8/27/1917	MTC 588			6/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_07423.txt	Kearney	Norman	Alert	6/21/1918	Co D 532 Engrs	8/22/1918	7/12/1919	7/21/1919																																																																														
WW-I-Card_World-War-I-Service-Card-f_07488.txt	Bradsher	Silas	Allenville	11/30/1917	Co B 371 Inf	4/9/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-a_01134.txt	Alston	Isaac Thomas	Alston	4/1/1918	Hq Co 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-g_08604.txt	Brown	Albert	Altamahan	4/26/1918	MG Co 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-j_12607.txt	Pinnix	Thomas	Altamahaw	3/29/1918	Co I 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-d_05330.txt	Miller	William	Andrew	7/17/1918	Co C 545 Engrs Serv Bn			1/9/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-e_06328.txt	Tyson	Walter	Ansonville	7/17/1918	MG Co 372 Inf	8/22/1918	2/11/1919	3/2/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_07217.txt	Fuller	Joseph	Apex	8/2/1918	Co H 813 Pion Inf	9/15/1918	4/19/1919	5/3/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-g_09771.txt	Owens	John	Apex	7/17/1918	Co K 370 Inf	8/22/1918	2/9/1919	3/4/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-b_01919.txt	Stewart	James	Apex	3/31/1918	Co G 365 Inf	6/10/1918	2/24/1919	3/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-d_04833.txt	Thompson	Joseph	Apex	1/22/1918	Tr K 10 Cav			4/24/1920 to reenlist																																																																														
WW-I-Card_World-War-I-Service-Card-c_02873.txt	Baker	Willie Edward	Arapahoe	4/26/1918	Co K 366 Inf	6/15/1918	2/28/1919	3/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-a_01127.txt	Alston	Henry	Arcola	5/2/1918	35 Cons Co Air Serv Sig C			12/23/1918																																																																														
WW-I-Card_World-War-I-Service-Card-h_10107.txt	Burgess	Eugene	Arcola	6/21/1918	30 ASC	10/5/1918	7/30/1919	8/5/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-b_01670.txt	Stephenson	Badger	Arcola	7/19/1918	Co A 545 Engrs	9/22/1918	6/27/1919	7/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-j_13412.txt	Wright	Raymond	Arcola	6/21/1918	Co C 532 Engr	10/21/1918	7/18/1919	7/22/1919 reenlist																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_06697.txt	Francis	Frank	Arden	11/18/1914	Co E 24 Inf			10/14/1917																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_06698.tif	Francis	Frank	Arden	10/15/1917	366 Inf	6/15/1918	5/8/1919	5/27/1919																																																																														
WW-I-Card_World-War-I-Service-Card-d_04916.txt	Bellamy	Robert	Ash	7/16/1918	Co M 811 Pion Inf	10/20/1918	7/30/1919	8/5/1919																																																																														
WW-I-Card_World-War-I-Service-Card-d_04715.txt	Belfour	Pearl	Asheboro	3/29/1918	Co I 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-4-i_12262.txt	Phillips	Herbert	Asheboro	3/29/1918	Co I 365 Inf	6/10/1918	2/24/1919	3/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-5-f_08248.txt	Watkins	Lafayette	Asheboro	3/29/1918	Co I 365 Inf	5/30/1918	10/18/1918	1/24/1919 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-a_00471.txt	Alexander	Carl	Asheville	2/13/1918	Co F 371 Inf	6/30/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-a_01109.txt	Alston	Edward Eugene	Asheville	10/18/1918	Students Army Tng C Hampton Institute VA			12/17/1918																																																																														
WW-I-Card_World-War-I-Service-Card-d_04748.txt	Bell	Abraham	Asheville	8/2/1918	Vet Hosp 119 Vet VC	10/21/1918	6/11/1919	6/18/1919																																																																														
WW-I-Card_World-War-I-Service-Card-e_06598.txt	Booker	Henry	Asheville	7/1/1918	Co D 422 Res Labor Bn			1/10/1920																																																																														
WW-I-Card_World-War-I-Service-Card-f_06801.txt	Bostick	Tealer	Asheville	4/20/1918	Co H 802 Pion Inf	9/1/1918	6/28/1919	7/13/1919																																																																														
WW-I-Card_World-War-I-Service-Card-f_07630.tif	Brannon	Samuel	Asheville	10/11/1917	833 Co TC	10/11/1917	5/3/1919	5/6/1919																																																																														
WW-I-Card_World-War-I-Service-Card-g_08714.txt	Brown	David	Asheville	4/30/1918	Co C 317 Sup Tn	6/10/1918	2/27/1919	3/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-i_11428.txt	Butler	Manuel Wilburn	Asheville	10/31/1918	Student Army Tng C Meharry Med College Nashville Tenn			12/17/1918																																																																														
WW-I-Card_World-War-I-Service-Card-i_11076.txt	Caldwell	Jhon	Asheville	6/19/1918	Co G 801 Pion Inf	9/8/1918	6/5/1919	6/11/1919																																																																														
WW-I-Card_World-War-I-Service-Card-j_12191.txt	Carter	William	Asheville	7/5/1918	Co D 802 Pion Inf 	9/1/1918	7/9/1919	7/19/1919																																																																														
WW-I-Card_World-War-I-Service-Card-k_13909.txt	Clowney	Adolphus	Asheville	11/18/1917	Co C 304 Steve Regt			2/9/1918 SCD																																																																														
WW-I-Card_World-War-I-Service-Card-k_14621.txt	Colter	Elbert	Asheville	1/26/1918	Co D 308 Labor Bn	4/6/1918	7/24/1919	7/26/1919 to reenlist																																																																														
WW-I-Card_World-War-I-Service-Card-l_15413.txt	Corrie	Walter	Asheville	2/2/1918	Co D 313 Serv Bn QMC	3/28/1918	6/28/1919	7/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-a_00574.tif	Davis	Jimmie	Asheville	11/21/1917	852 TC	12/26/1917	7/6/1919	7/12/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-b_01641.tif	Dickson	James	Asheville	10/15/1917	365 Inf	6/10/1918	2/24/1919	3/15/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-b_01783.txt	Dixon	Carroll	Asheville	2/25/1918	Co E 371 Inf	4/9/1918	2/11/1919	2/22/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-b_01917.txt	Dixson	James	Asheville	12/1/1917	Co B 312 Serv Bn	3/28/1918	8/20/1919	8/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-d_04677.txt	Evins	Archie	Asheville	10/6/1915	Med Dept Camp Eldridge PI			10/11/1919 to reenlist																																																																														
WW-I-Card_World-War-I-Service-Card-2-f_07843.txt	Garrett	Shelton	Asheville	7/17/1918	63 Pion Inf			12/19/1918																																																																														
WW-I-Card_World-War-I-Service-Card-2-g_08661.txt	Gilmore	William	Asheville	2/22/1918	MG Co 371 Inf	4/15/1918	2/11/1919	2/22/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-i_11448.txt	Hames	George	Asheville	11/27/1917	Co B 371 Inf	4/7/1918	2/11/1919	2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-j_12430.txt	Harris	Arthur	Asheville	7/17/1918	Chem Warfare Serv			2/28/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_14131.tif	Hemphill	Carl	Asheville	9/28/1917	156 Dep Brig	10/18/1917	4/18/1919	5/2/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_14132.txt	Hemphill	Clyde	Asheville	10/30/1917	Co F 367 Inf	6/10/1918	3/1/1919	3/10/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_14379.txt	Henry	John	Asheville	5/1/1918	Co D 367 Inf	6/10/1918	3/1/1919	3/24/1919																																																																														
WW-I-Card_World-War-I-Service-Card-2-k_14365.txt	Henry	Decoster	Asheville	6/21/1918	14 Co 4 Bn 155 Dep Brig	9/8/1918	4/30/1919	5/9/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-d_04233.tif	Jackson	Benjamin	Asheville	11/1/1917	Inf C Colored Rep Bn Casual	6/10/1918	5/8/1919	5/29/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-e_05418.txt	Johnson	Harry	Asheville	1/7/1913	Co K 25 Inf	10/19/1918	7/24/1919	2/2/1920 ETS																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_06974.txt	Jordan	Alfred James	Asheville	3/28/1918	Co C 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-f_06972.txt	Jordan	Albert	Asheville	6/20/1918	814 Pion Inf	10/6/1918	12/18/1918	1/16/1919																																																																														
WW-I-Card_World-War-I-Service-Card-3-g_08759.txt	Knox	Belton	Asheville	3/29/1918	Co C 350 MG Bn	6/10/1918	3/6/1919	3/20/1919																																																																														
